#,English,Bangla,Chittagonian
29,I went to the market early in the morning to buy fresh fish and vegetables.,আমি সকাল সকাল বাজারে গেলাম তাজা মাছ এবং সবজি কিনতে।,আঁই বিয়ান বিয়ান বাজারত গিয়ালাম তজা মাছ আর সবজি কিনিবল্লাই।
30,My grandmother always adds a little extra spice to make the curry more flavorful.,আমার দাদি সবসময় তরকারিকে আরও সুস্বাদু করতে একটু বেশি মশলা দেন।,আঁর দাদি হঁত্তিবাজে সালুনরে আরও সোয়াদ গরিতল্লাই এক্কানা বেশি মশলা দেয়।
31,This is my father.,ইনি আমার বাবা।,ইবে আঁর বাবা।
32,My mother is at home.,আমার মা বাড়িতে আছেন।,আঁর মা ঘরোত আছে।
33,I have two brothers.,আমার দুই ভাই আছে।,আঁর দুই ভাই আছে।
34,She is my sister.,সে আমার বোন।,ইতি আঁর বইন।
35,My family is very big.,আমার পরিবার অনেক বড়।,আঁর পরিবার মেলা বড়।
36,My younger brother goes to school.,আমার ছোট ভাই স্কুলে যায়।,আঁর ছোট ভাই ইশকুলত যায়।
37,Our grandfather lives in the village.,আমাদের দাদা গ্রামে থাকেন।,আঁরার দাদা গ্রামত থাহেন
38,My elder sister got married last year.,আমার বড় আপু গত বছর বিয়ে করেছেন।,আঁর বড় বুবু গত বছর বিয়া গইজ্জে।
39,My parents work very hard for us.,আমার বাবা-মা আমাদের জন্য অনেক কষ্ট করেন।,আঁর বাপ-মা আঁরার লাই মেলা হষ্ট গরে।
40,We visit our relatives during Eid holidays.,ঈদের ছুটিতে আমরা আত্মীয়দের বাড়ি বেড়াতে যাই।,ইদর ছুট্টিত আঁরা আত্মীয়র ঘরোত বেড়াইতে যাই।
41,My father works in Chittagong and comes home every weekend.,আমার বাবা চট্টগ্রামে কাজ করেন এবং প্রতি সপ্তাহে বাড়ি আসেন।,আঁর বাপ চাটগাঁত হাজ গরে আর পত্তি সপ্তাত ঘরোত আইয়ে।
42,Our family has been living in this neighborhood for more than thirty years.,আমাদের পরিবার এই পাড়ায় ত্রিশ বছরেরও বেশি সময় ধরে বাস করছে।,আঁরার পরিবার ইয়া পাড়াত তিরিশ বছরর বেশি সময় ধরি থাহে।
43,My mother takes care of all of us and manages the household very well.,আমার মা আমাদের সবার যত্ন নেন এবং সংসার খুব ভালোভাবে পরিচালনা করেন।,আঁর মা আঁরা বেগগুনর যত্ন লয় আর সংসার মেলা গম গরি চালায়।
44,The wedding ceremony of my cousin was held in the village last month.,গত মাসে আমার চাচাতো ভাইয়ের বিয়ে গ্রামে অনুষ্ঠিত হয়েছিল।,গিয়্যি মাসত আঁর জেঠাতো ভাইর বিয়া গাঁঅত অইয়ে।
45,I love spending time with my family during the holidays.,আমি ছুটির দিনে পরিবারের সাথে সময় কাটাতে ভালোবাসি।,আঁই ছুট্টির দিনত পরিবারর লয় সময় হাডাইতে গম পাই।
46,I go to school every day.,আমি প্রতিদিন স্কুলে যাই।,আঁই পত্তি দিন ইশকুলত যাই।
47,I study at university.,আমি বিশ্ববিদ্যালয়ে পড়ি।,আঁই ভার্সিটিত পড়ি।
48,My exam is tomorrow.,আমার পরীক্ষা আগামীকাল।,আঁর পরীক্ষা হালিয়া।
49,Reading books is a good habit.,বই পড়া একটি ভালো অভ্যাস।,বই পড়া এক্কান গম অভ্যাস।
50,Our teacher explains the lesson very well.,আমাদের শিক্ষক পাঠ খুব ভালোভাবে বুঝিয়ে দেন।,আঁরার মাস্টার সবক মেলা গম গরি বুজাই দেয়।
51,I want to become an engineer in the future.,আমি ভবিষ্যতে ইঞ্জিনিয়ার হতে চাই।,আঁই সামনে ইঞ্জিনিয়ার অইত চাই।
52,He passed his final examination with very good marks.,সে চূড়ান্ত পরীক্ষায় খুব ভালো নম্বর পেয়ে উত্তীর্ণ হয়েছে।,ইতে ফাইনাল পরীক্ষাত মেলা গম নম্বর পাই পাশ গইজ্জে।
53,The students are preparing hard for their upcoming board examinations.,শিক্ষার্থীরা আসন্ন বোর্ড পরীক্ষার জন্য কঠোর প্রস্তুতি নিচ্ছে।,ছাত্ররা সামনে বোর্ড পরীক্ষার লাই মেলা কড়া প্রস্তুতি লর।
54,Education is the most important tool for building a better future.,শিক্ষা একটি উন্নত ভবিষ্যৎ গড়ার সবচেয়ে গুরুত্বপূর্ণ হাতিয়ার।,শিক্ষা এক্কান গম ভবিষ্যৎ গড়িবার লাই বেগগুনত্তুন দরহারি চিজ।
55,My school library has thousands of books on different subjects.,আমার স্কুলের পাঠাগারে বিভিন্ন বিষয়ের উপর হাজার হাজার বই আছে।,আঁর ইশকুলর লাইব্রেরিত মেলা জাতর হাজার হাজার বই আছে।
56,She works very hard every night to complete her homework on time.,সে প্রতি রাতে সময়মতো বাড়ির কাজ শেষ করতে অনেক পরিশ্রম করে।,ইতে পত্তি রাইতত সময় মতো ঘরের হাজ শেষ গরিত মেলা হষ্ট গরে।
57,The new school building was built with the help of the local community.,নতুন বিদ্যালয় ভবনটি স্থানীয় সম্প্রদায়ের সহায়তায় নির্মিত হয়েছিল।,নুয়া ইশকুলর বিল্ডিং গান এলাকার মাইনষর সাহায্যে তৈরি অইয়ে।
58,"Our university offers many programs in science, arts, and engineering.","আমাদের বিশ্ববিদ্যালয়ে বিজ্ঞান, কলা এবং প্রকৌশলে অনেক প্রোগ্রাম রয়েছে।","আঁরার ভার্সিটিত বিজ্ঞান, কলা আর ইঞ্জিনিয়ারিংর মেলা প্রোগ্রাম আছে।"
59,Today is very hot.,আজ অনেক গরম।,আজিয়া মেলা গরম।
60,It is raining outside.,বাইরে বৃষ্টি হচ্ছে।,বারে বৃষ্টি অর
61,The weather is pleasant today.,আজকের আবহাওয়া আনন্দদায়ক।,আজিয়া্র আবহাওয়া মেলা গম।
62,Winter in Chittagong is mild.,চট্টগ্রামে শীতকাল হালকা।,চাটগাঁত শীতকাল এক্কানা হম।
63,The monsoon season brings heavy rainfall every year.,বর্ষাকালে প্রতি বছর প্রচুর বৃষ্টিপাত হয়।,বষ্যা হালত পত্তি বছর মেলা বৃষ্টি অয়।
64,The river flooded because of the heavy rain last night.,গত রাতের প্রচণ্ড বৃষ্টির কারণে নদীতে বন্যা হয়েছে।,গত রাইতত বেশি বৃষ্টি অইবার লাই নৈত বঁন্যাপানি আইয়্যে।
65,"During summer, the temperature sometimes reaches above forty degrees Celsius.",গ্রীষ্মকালে তাপমাত্রা কখনো কখনো চল্লিশ ডিগ্রি সেলসিয়াসের উপরে পৌঁছায়।,গরমর হালত তাপমাত্রা হুনো হুনো সময় চল্লিশ ডিগ্রির উপরে উঠে।
66,The farmers are happy because the rainfall this year has been very good.,এ বছর বৃষ্টিপাত অনেক ভালো হওয়ায় কৃষকরা খুশি।,এ বছর বৃষ্টি মেলা গম অইবার লাই হিষারি অঅল মেলা খুশি
67,"After the storm, the streets were covered with fallen tree branches.",ঝড়ের পরে রাস্তাগুলো পড়ে যাওয়া গাছের ডালে ঢেকে গিয়েছিল।,তুয়ানর পরে রাস্তাঅন গাছর ডাইল-ফাল্লা ফড়ি ঢাহি গিয়্যি।
68,The sea near Cox's Bazar is very beautiful during sunrise.,সূর্যোদয়ের সময় কক্সবাজারের কাছের সমুদ্র অনেক সুন্দর দেখায়।,বেল উঠিবার সময় কসবাজারর হাতর দরিয়া মেলা সুন্দর দেহায়।
69,I have a fever.,আমার জ্বর হয়েছে।,আঁর জর অইয়ে।
70,Please call the doctor.,ডাক্তারকে ডাকো।,ডাক্তাররে ডাহো।
71,I have a headache today.,আজ আমার মাথাব্যথা করছে।,আজিয়া আঁর মাথা  হরার
72,Drink more water to stay healthy.,সুস্থ থাকতে বেশি পানি পান করো।,ভালা থাহিবার লাই মেলা পানি হাও।
73,He was admitted to the hospital after the accident.,দুর্ঘটনার পর তাকে হাসপাতালে ভর্তি করা হয়েছিল।,এক্সিডেন্টর পরে ইতেরে হাস্পাতালত ভর্তি গইজ্জে।
74,The doctor advised him to rest for at least one week.,ডাক্তার তাকে কমপক্ষে এক সপ্তাহ বিশ্রাম নিতে পরামর্শ দিয়েছেন।,ডাক্তার ইতেরে হমপক্ষে এক সপ্তা জিরান লইত হইয়্যে।
75,Regular exercise and a balanced diet are essential for good health.,নিয়মিত ব্যায়াম এবং সুষম খাদ্য সুস্বাস্থ্যের জন্য অপরিহার্য।,নিয়ম করি ব্যায়াম আর গম খানা শরীল ভালা রাহনর লাই মেলা দরহারি।
76,She recovered from her illness after taking medicine for three days.,তিন দিন ওষুধ খাওয়ার পর সে তার অসুস্থতা থেকে সুস্থ হয়ে উঠেছে।,তিনদিন ওষুদ হাইবার পরে ইতে বেয়ারামত্তুন ভালা অই উড্যে।
77,I need money.,আমার টাকার দরকার।,আঁর টেঁয়া দরহার।
78,He works at a bank.,সে একটি ব্যাংকে কাজ করে।,ইতে এক্কান ব্যাংকত হাজ গরে।
79,How much does this cost?,এটার দাম কত?,ইয়ানর দাম হত?
80,I got a new job last month.,গত মাসে আমি নতুন চাকরি পেয়েছি।,গিয়্যি মাসত আঁই নুয়া চঁহুরি পাইয়্যি।
81,She earns a good salary from her business.,সে তার ব্যবসা থেকে ভালো বেতন উপার্জন করে।,ইতে ইতর বেবসা তুন গম টেঁয়া হামায়।
82,The price of vegetables has increased a lot this month.,এই মাসে সবজির দাম অনেক বেড়ে গেছে।,ইয়া মাসত তরি-তরকারির দাম মেলা বাড়ি গিয়্যি।
83,He had to work overtime every day for the entire month to finish the project.,প্রকল্পটি শেষ করতে তাকে সারা মাস প্রতিদিন ওভারটাইম কাজ করতে হয়েছিল।,প্রজেক্ট শেষ গরিত ইতেরে গোট্টা মাস পত্তি দিন ওভারটাইম হাজ গরণ লাইগ্যে।
84,Starting a small business requires careful planning and enough initial investment.,একটি ছোট ব্যবসা শুরু করতে সতর্ক পরিকল্পনা এবং যথেষ্ট প্রাথমিক বিনিয়োগ প্রয়োজন।,এক্কান ছোট বেবসা শুরু গরিত মেলা চিন্তা-ভাবনা আর টেঁয়া-পয়সা দরহার।
85,I want to go to Dhaka.,আমি ঢাকা যেতে চাই।,আঁই ঢাকা যাইত চাই।
86,When does the bus leave?,বাস কখন ছাড়ে?,বাস হঁন সময় ছাড়ে?
87,Chittagong is a beautiful port city.,চট্টগ্রাম একটি সুন্দর বন্দর শহর।,চাটগাঁ এক্কান সুন্দর বন্দর শহর।
88,The train to Dhaka takes about seven hours.,ঢাকাগামী ট্রেনে প্রায় সাত ঘণ্টা লাগে।,ঢাকাত যায় দে ট্রেনত অনুমান সাত ঘণ্টা লাগে।
89,We visited Cox's Bazar and enjoyed the beautiful beach.,আমরা কক্সবাজার গিয়েছিলাম এবং সুন্দর সমুদ্র সৈকত উপভোগ করেছিলাম।,আঁরা কসবাজার গিয়ালাম আর দরিয়ার চড মেলা সুন্দর করি দেহি আইস্যি।
90,The road from Chittagong to Cox's Bazar passes through very scenic areas.,চট্টগ্রাম থেকে কক্সবাজারের রাস্তাটি অনেক মনোরম এলাকার মধ্য দিয়ে যায়।,চাটগাঁ তুন কসবাজারর রাস্তাঅন মেলা সুন্দর জায়গার ভিতর দি গিয়্যি।
91,"During the Eid holidays, all the buses and trains are completely full of passengers.",ঈদের ছুটিতে সব বাস ও ট্রেন যাত্রীদের দ্বারা সম্পূর্ণ পরিপূর্ণ থাকে।,ইদর ছুট্টিত বেগগুন বাস আর ট্রেন মাইনষত ভরি থাহে।
92,I have been planning to visit my village home for the past several months.,আমি গত কয়েক মাস ধরে আমার গ্রামের বাড়ি যাওয়ার পরিকল্পনা করছিলাম।,আঁই গিয়্যি কয় মাস ধরি আঁর নিজের ঘরোত যাইবার লাই চিন্তা গইজ্জি।
93,I am very happy today.,আমি আজ অনেক খুশি।,আঁই আজিয়া মেলা খুশি।
94,I miss my friends.,আমি আমার বন্ধুদের মিস করি।,আঁই আঁর দোস্তঅররে মিস গরি।
95,Please do not be angry with me.,আমার সাথে রাগ করো না।,আঁর লয় রাগ ন গরিও।
96,He felt very sad after hearing the bad news.,খারাপ খবর শুনে সে অনেক দুঃখিত হয়ে পড়েছিল।,হরাপ হবর হুনি ইতে মেলা দুক ফাইয়্যে।
97,She was so happy that she could not stop smiling all day.,সে এত খুশি ছিল যে সারাদিন হাসি থামাতে পারছিল না।,ইতে এতো খুশি অইয়ে যে গোড়া দিন হাঁসি থামাইত ন ফারিদ্যে।
98,It is important to help others and show kindness in our daily life.,আমাদের দৈনন্দিন জীবনে অন্যদের সাহায্য করা এবং সদয় আচরণ করা গুরুত্বপূর্ণ।,আঁরার দন্দিন জীবনত মাইনষরে সাহায্য গরণ আর গম ব্যবহার গরণ মেলা দরহারি
99,True friendship means standing by each other through good and bad times.,প্রকৃত বন্ধুত্ব মানে ভালো ও মন্দ সময়ে একে অপরের পাশে থাকা।,আসল দোস্তি মানে গম আর হরাপ সময়ত এক্কজন আরকজনর হাতত থাহন।
100,"Despite facing many difficulties in life, he never lost his hope or determination.",জীবনে অনেক কষ্টের মুখোমুখি হওয়া সত্ত্বেও সে কখনো তার আশা বা সংকল্প হারায়নি।,জীবনত মেলা হষ্ট পাইলেও ইতে হঁনদিন আশা হারাই ন ফেলে।
101,I am going to the mosque.,আমি মসজিদে যাচ্ছি।,আঁই মসিদত যাইর।
102,Today is Friday prayer.,আজ জুমার নামাজ।,আজিয়া জুমার লেয়াজ।
103,Ramadan is a holy month.,রমজান একটি পবিত্র মাস।,রমজান এক্কান পবিত্র মাস।
104,Please pray for me.,আমার জন্য দোয়া করো।,আঁর লাই দোয়া গরিও।
105,He reads the Quran every morning.,সে প্রতিদিন সকালে কোরআন পড়ে।,ইতে পত্তি বিয়ানত কোরআন শরীফ পড়ে।
106,The mosque is very close to our house.,মসজিদটি আমাদের বাড়ির খুব কাছে।,মসিদ গান আঁরার ঘরের একদম হাতত।
107,"During Ramadan, we fast from dawn to sunset.",রমজান মাসে আমরা ভোর থেকে সূর্যাস্ত পর্যন্ত রোজা রাখি।,রমজান মাসত আঁরা সুরুজ উডনত্তুন ডুবা পর্যন্ত রোয়া রাহি।
108,Everyone in our village gathers at the mosque for Eid prayer.,আমাদের গ্রামের সবাই ঈদের নামাজের জন্য মসজিদে একত্রিত হয়।,আঁরার গাঁওর বেগগুন ইদর লেয়াজর লাই মসিদত জমা অয়।
109,My grandfather taught me how to pray when I was a young child.,আমি ছোট থাকতে আমার দাদা আমাকে নামাজ পড়তে শিখিয়েছিলেন।,আঁই ছোট থাহিতে আঁর দাদা আঁরে লেয়াজ পড়ন শিখাইয়্যে।
110,"After Eid prayer, everyone hugs each other and wishes Eid Mubarak.",ঈদের নামাজের পর সবাই একে অপরকে জড়িয়ে ধরে ঈদ মোবারক জানায়।,ইদর লেয়াজর পরে বেগগুন এক্কজন আরকজনরে হঁলাহলি গরি ঈদ মোবারক জানায়।
111,The call to prayer echoes through the neighborhood five times a day.,দিনে পাঁচবার আজানের শব্দ পাড়ায় প্রতিধ্বনিত হয়।,দিনত পাঁচবার আজানর শব্দ পাড়াত হুনা যায়।
112,She completed reading the entire Quran during the month of Ramadan.,সে রমজান মাসে পুরো কোরআন খতম করেছে।,ইতে রমজান মাসত গোট্টা কোরআন শরীফ খতম গইজ্জে।
113,We gave Zakat to the poor families in our village this year.,এ বছর আমরা আমাদের গ্রামের গরিব পরিবারগুলোকে যাকাত দিয়েছি।,ইয়া বছর আঁরা আঁরার গাঁওর গরিব পরিবার অঅলেরে যাকাত দিয়্যি।
114,The new imam of our mosque is very knowledgeable and speaks well.,আমাদের মসজিদের নতুন ইমাম অনেক জ্ঞানী এবং সুন্দরভাবে কথা বলেন।,আঁরার মসিদর নুয়া ইমাম মেলা জ্ঞানী আর মেলা গম গরি হতা হয়।
115,"Islam teaches us to be kind, honest, and helpful to others.","ইসলাম আমাদের দয়ালু, সৎ এবং অন্যদের প্রতি সহায়ক হতে শেখায়।","ইসলাম আঁরাররে দয়ালু, সৎ আর মাইনষর সাহায্য গরিত শিখায়।"
116,My father never misses his five daily prayers no matter how busy he is.,আমার বাবা যতই ব্যস্ত থাকুন না কেন কখনো পাঁচ ওয়াক্ত নামাজ মিস করেন না।,আঁর বাপ যত্তুনই ব্যস্ত থাহুক না কেন হঁনদিন পাঁচ ওয়াক্ত লেয়াজ মিস ন গরে।
117,We went to perform Hajj in Mecca last year with our family.,গত বছর আমরা পরিবারসহ মক্কায় হজ করতে গিয়েছিলাম।,গিয়্যি বছর আঁরা পরিবার লই মক্কাত হজ গরিত গিয়ালাম।
118,The children in our neighborhood go to the madrasa every evening.,আমাদের পাড়ার বাচ্চারা প্রতি সন্ধ্যায় মাদ্রাসায় যায়।,আঁরার পাড়ার ফুয়াঅঅল পত্তি আজা মাদ্রাসাত যায়।
119,Fasting during Ramadan teaches patience and gratitude.,রমজানে রোজা রাখা ধৈর্য ও কৃতজ্ঞতা শেখায়।,রমজানত রোয়া রাহন ধৈর্য আর শুকরিয়া আদায় গরণ শিখায়।
120,We pray for peace and well-being of all people.,আমরা সকল মানুষের শান্তি ও কল্যাণের জন্য দোয়া করি।,আঁরা বেগ মাইনষর শান্তি আর গমর লাই দোয়া গরি।
121,We live in a village.,আমরা গ্রামে থাকি।,আঁরা গাঁঅত থাহি।
122,The farmers are working in the field.,কৃষকরা মাঠে কাজ করছে।,হিষারি অঅল বিলত হাজ গরের।
123,Our village has a pond.,আমাদের গ্রামে একটি পুকুর আছে।,আঁরার গাঁঅত এক্কান পুহুর আছে।
124,The crop is ready to harvest.,ফসল কাটার জন্য প্রস্তুত।,ফসল হাডনর লাই রেডি।
125,Village life is calm and peaceful.,গ্রামের জীবন শান্ত ও নিরিবিলি।,গাঁওর জীবন মেলা শান্ত আর নিরিবিলি।
126,The farmers planted rice seeds after the first rain.,প্রথম বৃষ্টির পর কৃষকরা ধানের বীজ বপন করেছে।,পইলা বৃষ্টির পরে হিষারি অঅল ধানোর বিচন দিয়্যি।
127,Every morning the cows are taken to the field for grazing.,প্রতিদিন সকালে গরুগুলোকে মাঠে ঘাস খেতে নিয়ে যাওয়া হয়।,পত্তি বিয়ানত গোরুঅঅলরে বিলত ঘাস হাইট লই যাওয়া অয়।
128,The village market opens every Saturday and Sunday.,গ্রামের বাজার প্রতি শনি ও রবিবার বসে।,গাঁওর বাজার পত্তি শনি আর রবিবার বইহে।
129,Children in the village play near the river in the afternoon.,গ্রামের ছেলেমেয়েরা বিকেলে নদীর পাড়ে খেলাধুলা করে।,গাঁওর ফুয়া-মাইয়্যা অঅল আজা বেলা নৈর চডত খেলাধুলা গরে।
130,The village elder settled the dispute between two families.,গ্রামের মুরব্বি দুই পরিবারের মধ্যে বিবাদ মিটিয়ে দিয়েছেন।,গাঁওর মুরুব্বি দুই পরিবারর হঁঁইজ্জা মিটাই দিয়্যি।
131,"After the harvest, the farmers store rice in their barns for the winter.",ফসল কাটার পর কৃষকরা শীতকালের জন্য গোলায় ধান মজুত করে রাখেন।,ফসল হাডনর পরে হিষারি অঅল শীতকালর লাই গোলায় ধান জমা করি রাহে।
132,Heavy rain damaged the crops in our village last week.,গত সপ্তাহে প্রচণ্ড বৃষ্টিতে আমাদের গ্রামের ফসল নষ্ট হয়ে গেছে।,গিয়্যি সপ্তাত মেলা বৃষ্টি অইবার লাই আঁরার গাঁওর ফসল হরাপ অই গিয়্যি।
133,The village road gets very muddy and difficult to walk on during the rainy season.,বর্ষা মৌসুমে গ্রামের রাস্তা খুব কাদামাটি হয়ে যায় এবং হাঁটা কষ্টকর হয়ে পড়ে।,বষ্যা হালত গাঁওর রাস্তা মেলা হাঁদা অই যায় আর হাঁটন মেলা হষ্ট অয়।
134,Electricity finally arrived in our village two years ago.,দুই বছর আগে আমাদের গ্রামে অবশেষে বিদ্যুৎ এসেছে।,দুই বছর আগে আঁরার গাঁঅত কারেন্ট আইয়্যে।
135,The annual village fair brings people together from many nearby areas.,বার্ষিক গ্রাম্য মেলায় আশেপাশের অনেক এলাকা থেকে মানুষ একত্রিত হয়।,বছরর গাঁওর মেলাত হাতর মেলা জায়গাত্তুন মাইনষ জমা অয়।
136,Many young people are leaving the village to find work in the city.,অনেক তরুণ শহরে কাজ খুঁজতে গ্রাম ছেড়ে চলে যাচ্ছে।,মেলা জোয়ান ফুয়া শহরত হাজ হুঁজিত গাঁও ছড়ি যারগৈ।
137,The river provides water for drinking and farming throughout the year.,নদী সারা বছর পান করার এবং চাষাবাদের জন্য পানি সরবরাহ করে।,নৈ গোট্টা বছর খাবার লাই আর হিষারি হাজর লাই পানি দেয়।
138,Our village school does not have enough teachers for all the students.,আমাদের গ্রামের স্কুলে সব ছাত্রছাত্রীর জন্য পর্যাপ্ত শিক্ষক নেই।,আঁরার গাঁওর ইশকুলত বেগগুন ছাত্রর লাই যুতমতো মাস্টার নাই।
139,The mango trees in our garden give fruit every summer.,আমাদের বাগানের আমগাছগুলো প্রতি গ্রীষ্মে ফল দেয়।,আঁরার বাগানর আম গাছ অঅল পত্তি গরমর হালত ফল দেয়।
140,Farmers wake up before sunrise to start their daily work in the field.,কৃষকরা মাঠে দৈনন্দিন কাজ শুরু করতে সূর্য ওঠার আগেই ঘুম থেকে ওঠেন।,হিষারি অঅল বিলত দন্দিন হাজ শুরু গরিত বেল উডনর আগে ঘুমত্তুন উঠে।
141,How much is this shirt?,এই শার্টের দাম কত?,ইয়া শার্টর দাম হত?
142,I want to buy shoes.,আমি জুতা কিনতে চাই।,আঁই জুতা কিনিত চাই।
143,This is too expensive.,এটা অনেক দামি।,ইয়ান মেলা দামি।
144,Please give me a discount.,একটু দাম কমিয়ে দাও।,এক্কানা দাম হমাই দিও।
145,I will pay by cash.,আমি নগদে পরিশোধ করব।,আঁই নগদ টেঁয়া দাইম।
146,Do you have a smaller size?,তোমার কাছে ছোট সাইজ আছে?,তোঁয়ার হাতত ছোট সাইজ আছে নি?
147,The cloth market in Chittagong is very popular.,চট্টগ্রামের কাপড়ের বাজার অনেক জনপ্রিয়।,চাটগাঁর হাপড়র বাজার মেলা নাম করা।
148,She bought three kilograms of hilsa fish from the market.,সে বাজার থেকে তিন কেজি ইলিশ মাছ কিনেছে।,ইতে বাজারত্তুন তিন কেজি ইলিশ মাছ হিনিয়্যে।
149,The price of rice has gone up by ten taka per kilogram this month.,এই মাসে চালের দাম প্রতি কেজিতে দশ টাকা বেড়েছে।,ইয়া মাসত চাউলর দাম পত্তি কেজিত দশ টেঁয়া বাড়ি গিয়্যি।
150,I went to New Market in Chittagong to buy clothes for Eid.,আমি ঈদের কাপড় কিনতে চট্টগ্রামের নিউ মার্কেটে গিয়েছিলাম।,আঁই ইদর হাপড় হিনিবল্লাই চাটগাঁর নিউ মার্কেটত গিয়ালাম।
151,The shopkeeper refused to lower the price even after a long negotiation.,দীর্ঘ흥정ের পরেও দোকানদার দাম কমাতে রাজি হয়নি।,মেলা দরাদরি গইজ্জিও দোকানদার দাম হমাইতে রাজি ন অয়।
152,Online shopping has become very popular among young people in Bangladesh.,বাংলাদেশে তরুণদের মধ্যে অনলাইন কেনাকাটা অনেক জনপ্রিয় হয়ে উঠেছে।,বাংলাদেশত জোয়ানর ভিতর অনলাইনত সওদা গরণ মেলা জনপ্রিয় অই উড্যে।
153,She spent the whole afternoon going from shop to shop looking for the right dress.,সঠিক পোশাক খুঁজতে সে সারা বিকেল দোকান থেকে দোকানে ঘুরেছে।,ঠিক হাপড় হুঁজিত ইতে গোট্টা আজা এক দোকানত্তুন আরক দোকানত ঘুইজ্জে।
154,The vegetables are fresher and cheaper if you go to the market early in the morning.,সকাল সকাল বাজারে গেলে সবজি আরও তাজা ও সস্তায় পাওয়া যায়।,বিয়ান বিয়ান বাজারত গইলে তরি-তরকারি আরও তজা আর সস্তাত পাওন যায়।
155,My mother always checks the quality of the fish before buying it.,আমার মা কেনার আগে সবসময় মাছের গুণগত মান যাচাই করেন।,আঁর মা হিনিবার আগে হঁত্তিবাজে মাছ গম না হরাপ ইবার যাচাই গরে।
156,The new shopping mall in Chittagong has many international brands.,চট্টগ্রামের নতুন শপিং মলে অনেক আন্তর্জাতিক ব্র্যান্ড রয়েছে।,চাটগাঁর নুয়া শপিং মলত মেলা বিদেশি ব্র্যান্ড আছে।
157,I need to return this shirt because it has a defect.,এই শার্টটিতে ত্রুটি আছে তাই আমাকে ফেরত দিতে হবে।,ইয়া শার্টত সমস্যা আছে অইবার লাই আঁরে ইয়ান ফেরত দেওন ফরিবো।
158,We bought all the Eid gifts in one afternoon.,আমরা এক বিকেলে সব ঈদের উপহার কিনে ফেলেছি।,আঁরা এক আজা বেলা বেগ ইদর হাদিয়া হিনি ফেলাইয়্যি।
159,My phone battery is low.,আমার ফোনের চার্জ কম।,আঁর ফোনর চার্জ হম।
