bangla,chittagonian,english,predicted_chittagonian
সে ডেটাসেটে প্রতিটি অনুবাদ-অযোগ্য চাটগাঁইয়া প্রকাশ একটি নোট দিয়ে অ্যানোটেট করেছে।,ইতে ডাটাসেটত সব হতার মানে লিখি রাহ্যি।,She annotated every untranslatable Chittagonian expression in the dataset with a note.,চাটগাঁইয়া: সে ডেটাসেটের প্রতিটি অনুবাদ অক্ষম চাটগাঁইয়া ভাষায় নোটে লিখিত করেছেন। তিনি প্রতিটি অনুবাদকে
বিশ্রাম নাও এত কঠোর পরিশ্রম করো না আপনার স্বাস্থ্য গুরুত্বপূর্ণ।,"জিরান লও, ইতুনি হষ্ট ন গরিও, তোঁয়ার শরীল মেলা দরকারি।",Take rest and do not work so hard your health is important.,চাটগাঁইয়া: বিশ্রাম করো না অপনার শারীরিক ও মানসিক অবস্থা বাঁখাঁত রাখো। অপনার জীবন গুরুত্বপূর্ণ।
প্রচণ্ড বৃষ্টির কারণে রেফারি ফুটবল ম্যাচ থামিয়ে দিয়েছেন।,মেলা বৃষ্টির লাই রেফারি ফুটবল খেলা বন্ধ গরি দিয়্যি।,The referee stopped the football match because of heavy rain.,চাটগাঁইয়া: প্রকৃত বৃষ্টি ওজন করলে খেলা বাঁধাঁইয়া ম্যাচটি ঠিক করে দিন।
আমার জন্য দোয়া করো।,আঁর লাই দোয়া গরিও।,Please pray for me.,চাটগাঁইয়া: আপনাকে ধনুর বান করুন।
সে চট্টগ্রামের উপকূলীয় এলাকায় উন্নত বর্জ্য ব্যবস্থাপনার জন্য প্রচারণা করে।,ইতে চাটগাঁর দরিয়ার হাছর জাগাত ময়লা সাফ গরণর লাই প্রচার গরের।,She campaigns for better waste management in Chittagong's coastal areas.,"চাটগাঁইয়া: সে চাটগাঁইয়া উপকূলীয় বাক্যকে অনুবাদ করো:
She promotes advanced waste management in the up<<টা>>কুঁইয়া কুঠামক অনুবাদ:
চাটগা�"
সম্প্রদায় সেতু তৈরি করেছে যাতে শিশুরা নিরাপদে স্কুলে যেতে পারে।,মাইনষ মিলি পুল বানাইয়্যে যাতে ফুয়া অঅল নিরাপদে ইশকুলত ফারি যায়।,The community built a bridge so children could get to school safely.,চাটগাঁইয়া: সম্প্রদায়া বাঁড়িয়া তৈরি করেছে যাতে শিশুতা নিরাপদে স্কুলে পাঠিক হতে পারে।
দাদার চাটগাঁইয়া কৌতুকে সে এত জোরে হেসেছে যে চোখে পানি এসেছে।,দাদির চাটগাঁইয়া কিসসা হুনি ইতে মেলা হাসি দিয়্যি।,He laughed so hard at his grandfather's Chittagonian joke that he cried.,চাটগাঁইয়া: ডাদা অনুয়ায়া কুকুক করেছে যে চোখে পানি আসেছে।
গ্রামে নতুন স্কুল নির্মাণ সামাজিক অনুদানে অর্থায়ন হয়েছে।,গাঁঅত নুয়া ইশকুল বানানি মাইনষর টেঁয়া দি অইয়ে।,The new school construction in the village was funded by community donations.,"চাটগাঁইয়া: গ্রামে নতুন স্কুল প<ত্তর বান্ডিয়ায়া ভাষায় অনুবাদ:
উচ্চাতুঁইয়া ভাষায় অনুবাদ:
নতুন স্ক�"
তাদের বাবা-মা প্রথমে রাজি ছিলেন না কিন্তু পরে সম্পর্ক মেনে নিয়েছেন।,তারার বাপ-মা পইলা রাজি ন আছিল কিন্তু পরে মানি লইয়্যি।,Their parents did not approve at first but later accepted the relationship.,"চাটগাঁইয়া: তাদের বাবা-মা প্রারথমে খুঁজে না আসলেন কিন্তু পরকাল তাদের সম্পর্ক মেঁড়তে আসেন।
তুমি অনুবাদ�"
সে গভীর পানিতে জাল ফেলে।,ইতে গহীন পানিত জাল ফালায়।,He casts his net into the deep water.,চাটগাঁইয়া: তুমি গভীর পানিতে জাল ফেলো ওজাত।
এআই অনুবাদের সমালোচকরা চিন্তিত এটা মানব অনুবাদকদের সম্পূর্ণ প্রতিস্থাপন করবে,যারা এআই পছন্দ ন গরে তারা ডরায় যে মানুষ অনুবাদকর আর দরকার ন ফড়িবো।,Critics of AI translation worry it will replace human translators entirely,"চাটগাঁইয়া: চাটগাঁইয়া ভাষায় অনুবাদ করা বাক্যটি হলো - চাটগাঁইয়া ভাষায় সঠিকভাবে অনুবাদ করলে হলো:
চাট"
চট্টগ্রাম বাংলাদেশের সেরা ক্রিকেটারদের কিছু জন্ম দিয়েছে।,চাটগাঁ বাংলাদেশর মেলা গম গম ক্রিকেটার তৈয়ার গইজ্জে।,Chittagong has produced some of Bangladesh's finest cricketers.,"চাটগাঁইয়া: চাটগাঁইয়া ওজন বাঁড়ামাঁড়া খেলায় বাংলা ভাষায় সঠিকভাবে অনুবাদ করতে হবে:
চাটগাঁইয়া ও�"
স্থানীয় প্রজাতির বাসা বাঁধাকে উৎসাহিত করতে সে বাগানে পাখির ঘর তৈরি করেছে।,ফাহি অঅলেরে থাহনর লাই ইতে বাগানত পাখির ঘর বানাইয়্যে।,He built a birdhouse in his garden to encourage nesting by local species.,চাটগাঁইয়া: তোমার জাটলা প্রজাতি বাসা চাটগাঁইয়া ভাষায় হলো - তোমার বাগানে ওজ্ঞ পাখি বাসা তোমার বাগানে তোমা�
অনেক তরুণ বিশ্ববিদ্যালয়ের ডিগ্রি থাকা সত্ত্বেও বেকার।,মেলা জোয়ান ফুয়া ভার্সিটি পাশ করিও বেকার বই রইয়্যি।,Many young people are unemployed despite having a university degree.,চাটগাঁইয়া: অনেক তরুণ বাক্যকেট ডিগ্রি পাওয়া কাজ করতে না আটুঁঠা।
সে সন্তানদের প্রতিটি স্কুল রিপোর্ট কার্ড একটি বিশেষ বাক্সে রেখেছে।,ইতি ফুয়াঅঅলের ইশকুলর রেজাল্ট শিট বেগগুন এক্কান আলাদা বাক্সত রাখি দিয়্যি।,She kept every school report card of her children in a special box.,চাটগাঁইয়া: তিনি তাঁতুমা সন্তানকে প্রতিটি বিশেষ বাক্সে রেখেছেন ওয়াটা কার্ড।
দরজা বন্ধ করো।,দরজা বন্ধ গর।,Close the door.,চাটগাঁইয়া: ডাকা বন্ধ করো খাটটা।
সে চাটগাঁইয়া কলাম শেষ করলে ডেটাসেট প্রশিক্ষণের জন্য প্রস্তুত হবে.,ইতে চাটগাঁইয়া কলাম শেষ গইলে ডাটাসেট ট্রেনিংর লাই তৈরি অইবো।,If she finishes the Chittagonian column the dataset will be ready to train.,চাটগাঁইয়া: সে কলাম শেষ করলে ডেটাসেট প্রবুত হবে।
এআই অনুবাদের সমালোচকরা চিন্তিত এটা মানব অনুবাদকদের সম্পূর্ণ প্রতিস্থাপন করবে।,যারা এআই পছন্দ ন গরে তারা ডরায় যে মানুষ অনুবাদকর আর দরকার ন ফড়িবো।,Critics of AI translation worry it will replace human translators entirely.,চাটগাঁইয়া: চাটগাঁইয়া ভাষায় অনুবাদ করা বাক্যটি হলো - চাটগাঁইয়া ভাষায় সঠিকভাবে অনুবাদ। তুমি মানুষে
চট্টগ্রামের উপকূলের কাছে জেলিফিশ ও সামুদ্রিক আবর্জনা ক্রমশ বেড়ে চলেছে.,চাটগাঁর দরিয়ার হাছত জেলিফিশ আর ময়লা বাড়ি যারগৈ।,Jellyfish and sea debris are increasingly common near Chittagong's coast.,চাটগাঁইয়া: চট্টগ্রামের উপকূলে জেলিফিশ ও সামুদ্রিক খাটোবাঁধাতু বাঁড়কমাঁয়া বেড়ে চলছে।
ফাইনাল পরীক্ষার জন্য সে সারারাত জেগে পড়েছে।,ফাইনাল পরীক্ষার লাই ইতে গোট্টা রাইত জেগি ফড়িয়্যে।,He stayed up all night studying for the final exam.,"চাটগাঁইয়া: তুমি সারারাত জেগে চট্টগাঁইয়া ভাষায় ওয়েক হয়াক হলো চাটগাঁইয়া ভাষায়:
তুমি সারাকাঁখা�"
প্রকৃত বন্ধুত্ব মানে ভালো ও মন্দ সময়ে একে অপরের পাশে থাকা.,আসল দোস্তি মানে গম আর হরাপ সময়ত এক্কজন আরকজনর হাতত থাহন।,True friendship means standing by each other through good and bad times.,চাটগাঁইয়া: প্রকৃত বন্ধুত্ব বন্ধুবান সময়ে অপরের পাশে অবস্থান করা। ভালোবাক্য ও মন্দবাক্যে অপরের পাশে থাকা।
শবে বরাতের রাতে নামাজ ও বিশেষ মিষ্টান্ন দিয়ে পালন করা হয়,শবে বরাত রাইতত নামাজ আর মেলা জাতর মিঠাই দি পালন অয়।,The Shab-e-Barat night is observed with prayers and special sweets,"চাটগাঁইয়া: শবাজ বারাত ও বিশেষ মিষ্টানন দিয়ে পালন করা হয় চাটগাঁইয়া ভাষায়।
অনুবাদ: শবাজ বারাত ও বিশেষ মিষ্�"
ফসল এত ভালো হওয়া শেষ কবে ছিল সে মনে করতে পারছে না,অত্তো গম ফসল আগে হঁনদিন অইছিল ইয়া ইতর মনে ন ফড়ের।,He cannot remember the last time the harvest was this good,চাটগাঁইয়া: ফসল অত ভালো হওয়া শেষ কবে তা মনে করতে পারত না
সে কয়েক মাস ধরে হাঁটুর ব্যথায় ভুগছিল এবং অবশেষে বিশেষজ্ঞের কাছে গেছে।,ইতে মেলা মাস ধরি অঁঁটুর বিষত আছিল আর এহুন ডাক্তার দেখাইয়্যে।,She has been having knee pain for months and finally went to a specialist.,"চাটগাঁইয়া: তুমি কয়েক মাস ধরে পাখাঁক ব্যথায় ভুগছিল ও অবশেষে বিশেষজ্ঞের কাঁখাঁখি আটাটে আস<টা>>মি।
টি�"
জোয়ার আমাদের সঙ্গে থাকলে সূর্যাস্তের আগে দ্বীপে পৌঁছাব।,জোয়ার আঁরার লয় থাহিলে আজিন্নে বেলার আগে দ্বীপে ফঁইচ্ছি যাইয়্যুম।,If the tide is with us we will reach the island before sunset.,"চাটগাঁইয়া: জোয়ার আমানোয়াত সূর্যাস্ত হতো দ্বীপে পাঁখনা হব।
তুমি অনুবাদটি সঠিকভাবে চাটগাঁইয়া ভা�"
চট্টগ্রামের অনেক তরুণ এখন ঢাকার আইটি কোম্পানিতে কাজ করছে।,চাটগাঁর মেলা জোয়ান ফুয়া এহুন ঢাকার আইটি কোম্পানিত হাজ গরের।,Many Chittagonian youth are now working in IT companies in Dhaka.,চাটগাঁইয়া: চাটগাঁইয়া তরুণকুঞ্চাঁইয়া ঢাকা শহরে ইটি ও টেকনোলজি কোম্পানিতে কাজ করত আটাটটা ছিল।
সে চাটগাঁইয়া বাংলা ও ইংরেজির মধ্যে অনায়াসে কোড-সুইচ করে.,"ইতে চাটগাঁইয়া, বাংলা আর ইংরেজি মিলাই কথা কয়।",She code-switches effortlessly between Chittagonian Bangla and English.,চাটগাঁইয়া: সে চাটগাঁইয়া ভাষায় প্রাকৃতিক ও অনানুবাদিক। তুমি চাটগাঁইয়া ভাষায় বাংলা বাক্যটিকে প্রাকৃত
সে হাসপাতালে বাংলা না জানা রোগীদের জন্য অনুবাদক হিসেবে স্বেচ্ছাসেবী কাজ করে।,ইতে হাস্পাতালত যারা বাংলা ন বুঝে তারারে বুঝাই দেওনর হাজ গরে।,She volunteers to translate for non-Bangla-speaking patients at the hospital.,চাটগাঁইয়া: সে হাসপাতালে বাংলা ভাষা বাক্যকে চাটগাঁইয়া ভাষায় প্রাকৃতিক ও স্বাভাবিক চাটগাঁইয়া ভাষায় অনুব
ক্ষুধার্ত মানুষ রাগী মানুষ।,যার ভুক বেশি ইতর গুসসাও বেশি।,A hungry man is an angry man.,চাটগাঁইয়া: ক্ষুট মানুষ ক্রুট মানুষ।
শোক জানাতে প্রতিবেশী ও আত্মীয়রা দূর থেকে এসেছেন.,দুক জানাইতল্লাই হাতর ঘরের মাইনষ আর আত্মীয় অঅল মেলা দূরত্তুন আইয়্যে।,Neighbors and relatives came from far away to offer their condolences.,"চাটগাঁইয়া: শুকুঁইয়া তুমি দুর্ভাগ্যবাঁধাবন চাটগাঁইয়ায় অনুবাদ করঁক।
You translate the Bangla sentence into Chittagonian dialect:
শুকুঁইয়া ত"
তারা পাঁচ বছর ধরে একসাথে আছে।,তারা পাঁচ বছর ধরি একসাথে আছে।,They have been together for five years.,চাটগাঁইয়া: তারা পাঁখাঁঁত পাটি একসাথে আটানুয়া বছর।
চাটগাঁইয়া সূচিকর্মের শৈলীতে সমুদ্রের মোটিফ ও পাহাড়ের নকশা একসাথে ব্যবহার হয়।,চাটগাঁর সেলাইর নিয়ম দরিয়া আর ফাড়র নকশা একলয় অয়।,The Chittagonian style of embroidery uses sea motifs and hill patterns together.,চাটগাঁইয়া: পাখাঁইয়া উপকুমারিতা বাঁধাঁইয়া চিত্রকল্পে সমুদ্র বাঁধাঁইয়া ও পাহাড়ি বাঁধাঁইয়া চিত্�
খরার সময় বৃষ্টি ছাড়া কৃষকরা জমিতে পানি দিতে সংগ্রাম করেন,হুহার সময় বৃষ্টি ন অইলে হিষারি অঅল জমিতে পানি দিইত মেলা হষ্ট পায়।,During drought farmers struggle to irrigate their fields without rain,চাটগাঁইয়া: খাটোয়াঁক সময়ে বুষক বুঝুক কৃষকরা জমিতে পানি দিতে তাড়কতা করেন
