bangla,chittagonian,english,predicted_chittagonian
সে বলে তার উপভাষা অধ্যয়ন তাকে কম নয় বেশি আত্মবিশ্বাসী করেছে।,ইতে কয় আঞ্চলিক হতা লই ফড়াশোনা করি ইতে মেলা সাহসী অই গিয়্যি।,He says that studying his dialect made him more confident not less.,"চাটগাঁইয়া: সে বলে তাকে তাকে তাকটা বেশি আত্মবিশ্বাসী করেছে অনুবাদ। চাটগাঁইয়া
He says that studying his dialect made him more confident."
তার অনেক গুণ আছে যে আমি লিখে কখনো ও শেষ করতে পারবো না,ইতার বহুত গুণ আছে যে অ্যাঁই লিহে হনঅত্তে ও শেষ গরিতে ন পাইজ্জুম,She has so many qualities that I could never finish writing them.,চাটগাঁইয়া: তাঁকু অনেক গুণ আছে যাতা তাঁকু লিখতে পারঁক ও শেষ করতে পারঁক না
প্রাসাদের চারদিকে তো পাহারা দেয়,প্রাসাদর চারমিক্কে তো পাহারা দে,The palace is guarded on all sides.,"চাটগাঁইয়া: প্রাসাদের চারটি খাটেটা পাকা ওয়াকত করে তুমুক চাটগাঁইয়া ভাষায় অনুবাদ করো।
You translate the given Bangla sentence into natural, und<<u</u>>ট"
তুই আজকে ক্লাস সব করবি,তুঁই আজিয়ে ক্লাস হক্কল গরিবি,Will you attend all classes today?,চাটগাঁইয়া: তুমি আজ সব শিক্ষা বাঁধাঁকে করবি
আমি বললাম না চা দরকার নেই,অ্যাঁই হইলাম ন চা দরহার নাই,"I said, no, tea isn't needed.","চাটগাঁইয়া: আমি বলাও না চা দাঁখল না
তুমি বলো না চা ধাঁখ়ানা না
প্রকৃতভাবে, চাটগাঁইয়া ভাষায় অনুবাদ �"
ভবিষ্যৎ কাজে এই সিস্টেমকে বাংলাদেশের অন্যান্য আঞ্চলিক উপভাষায় সম্প্রসারণ অন্বেষণ করা হবে।,সামনে ইয়া সিস্টেম বাংলাদেশর অন্য আঞ্চলিক হতায় ও গরণ অইবো।,Future work will explore extending this system to other regional dialects of Bangladesh.,চাটগাঁইয়া: ভবিষ্যতে এই সিস্টেমটি ওটাট়াকেঁয়া বাক্যকে চাটগাঁইয়া ভাষায় প্রাকৃতিক ও স্বাভাবিক চাটগাঁই
সে বলে ভাষা অনুবাদ করা শুধু কারিগরি কাজ নয় এটা একটি সাংস্কৃতিক কাজ,ইতে হয় অনুবাদ গরণ শুধু কম্পিউটার হাজ ন অয়— ইয়ান মেলা বড় সাংস্কৃতিক হাজ।,She says that translating a language is not just a technical act it is a cultural one,"চাটগাঁইয়া: সে বলে যে ভাষা অনুবাদ শুধুমাত্র পাটিমাত্রা কাজ নয়, এটা একটি সাংস্কৃতিক কাজ ও প্রতিষ্ঠা কাজ।"
সে প্রতি সকালে নামাজ পড়ে।,ইতে পত্তি বিয়ানত নামাজ ফড়ে।,She prays every morning.,"চাটগাঁইয়া: তুমি প্রতিটা সকালে নামাজ পড়োবাঁখি।
তুমি প্রতিটা চট্টগ্রামের আঞ্চলিক ভাষায় অনুবাদ করেছে।"
সে বলে ভোরে চট্টগ্রাম বন্দর তার দেখা সবচেয়ে হৃদয়গ্রাহী দৃশ্যগুলোর একটি।,ইতে হয় বিয়ান বেলা চাটগাঁ বন্দর দেওন মেলা সুন্দর এক্কান কাম।,He says the Chittagong port at dawn is one of the most moving sights he knows.,"চাটগাঁইয়া: তান ওজ্জ্বল ভাবে বলো যে ভোরে চট্টগ্রাম বন্দর তাকে তাজগাঁইয়া জাতিকা ভাষায় অনুবাদ করো:
He says the Chittagong port at dawn"
চাটগাঁইয়া উপভাষা প্রতিটি অক্ষরে উষ্ণতা ও আবেগ বহন করে।,চাটগাঁইয়া হতার পত্তি হরফত মায়া আর আবেগ আছে।,The Chittagonian dialect carries warmth and emotion in every syllable.,"চাটগাঁইয়া: চাটগাঁইয়া ভাষায় বাক্যটি প্রতিটি অক্ষরে উষ্ণতা ও আবেগ বাঁধুন।
You<|তেমি|টি>ঁক চাটগাঁইয়া ভ"
সে পঁয়ত্রিশ বছরের সেবার পর চট্টগ্রাম বন্দর কর্তৃপক্ষ থেকে অবসর নিয়েছে।,ইতে পঁয়ত্রিশ বছর হাজ গরণর পর রিটায়ার্ড অই গিয়্যি।,He retired from the Chittagong Port Authority after thirty-five years of service.,চাটগাঁইয়া: তাঁঁয়ত পঁয়ত্রিশ বছর ধরে চট্টগ্রাম বন্দর প্রতিষ্ঠান তুমাঁয়ক হওয়া তুমনি অবসর হয়াঁ
বৃদ্ধ জেলে ডকের প্রান্তে বসে শিশুদের ১৯৯১ সালের ঝড়ের কথা বলছিলেন।,মুরুব্বি জাইল্ল্যা বন্দরর হাতত বসি ফুয়া অঅলেরে ৯১-র তুয়ানর কিসসা হইতো।,The old fisherman sat at the edge of the dock and told the children about the storm of 1991.,চাটগাঁইয়া: বৃদ্ধ ওজ্জ্বল জেলে প্রাণ্তে বাস করলেন ও শিশুদের কবিতা বাঁখাঁইয়ায় বাক্যটি বললেন যি ওজন ঝড�
মুনাফার মার্জিন কম হওয়ায় সে প্রতিটি খরচ যত্ন সহকারে হিসাব করে,লাভ হম অইবার লাই ইতে পত্তি খরচ মেলা হিসাব গরি গরে।,He calculates every expense carefully because profit margins are thin,চাটগাঁইয়া: মুনাফা বাঁড়িয়া হোক তত্ত্বক হিসাব করো যত্ন সহকারে করো। তাপন বাঁড়িয়া হোক চাটগাঁইয়া ভ
ঝড় সব নিয়ে গেছে কিন্তু পরিবার পরস্পরকে আঁকড়ে ধরেছে।,তুয়ানে বেগগুন লই গিয়্যি অইলেও পরিবারর বেগগুন একলয় আছে।,The storm took everything but the family held on to each other.,চাটগাঁইয়া: ঝড় সব ধাঁখ়াঁক করেছে কিন্তু পাটি পারিবারিককে আঁকড়ে ধাঁখ়াঁক করেছে।
আমার বোনের ব্যাগ থেকে টাকা চুরি করতে যেয়ে ধরা খাই হাতেনাতে,অ্যাঁর বইনের ব্যাগেত তুন টিঁয়া চুরি গরিত য্যাই ধরা হাই আতেনাতে,I got caught red-handed trying to steal money from my sister's bag.,চাটগাঁইয়া: আপনাও বোনের বাগচা থেকে পাঁয়়ক চুরি করাতে খাজি crime করেন হাতেনা
সে সীতাকুণ্ড ইকো পার্ক পরিদর্শন করেছে এবং উপরের ঝরনায় হাইক করেছে।,ইতে সীতাকুণ্ডত ফাড়ত উডি ঝরনা দেহিছে।,She visited the Sitakunda Eco Park and hiked to the waterfall at the top.,চাটগাঁইয়া: সে সীতাকুণ্ড পাকা পরিক্ষায় ওয়েক করে উচ্চতায় পানি খাটোয়া পাখা হাটের বাঁটি crime চাটগাঁইয়ায়
তুমি যখন কথা শুরু করবে তখন পাবে,তুই যেত্তে হথা শুরু গরিবে তহন ফাইবে,You will get it when you start talking,চাটগাঁইয়া: তুমি বাবুজি শুরু করতে পারো যখন তুমি তাঁড়িয়া বাক্যটি ভাবতে পারো যাওয়া। তুমি কাজ শুরু �
চাটগাঁইয়া পড়া ও লেখা প্‌রমিত বাংলার পাশাপাশি শেখানো উচিত।,বাংলা ফড়ানোর লয় চাটগাঁইয়া আঞ্চলিক ফড়া আর লেখাও শিখাওন দরকার।,Reading and writing Chittagonian should be taught alongside standard Bangla.,চাটগাঁইয়া পড়া ও লেখা প্রাকৃতিক চাটগাঁইয়া ভাষায় হতে হবে।
শখ বলে কিছু নেই আমার,শখ কইয়্যরে কিসু নাই অ্যাঁর,I have nothing called a hobby.,চাটগাঁইয়া: শক বকত কিছু নাও আমার
দিন আমি কিছু খাই না,দিন অ্যাঁই কিসু ন হাঁই,I haven't eaten anything all day.,"চাটগাঁইয়া: দিন ওয়েস কিছু খাওয়া না আটা (দিন পুরনতঃ ওয়েস কিছু খাওয়া না আটা)
প্রাকৃতিক চাটগাঁইয়া �"
চট্‌টগ্রামের পাহাড়ি এলাকায় কলার চাষ লাভজনক হয়ে উঠেছে।,চাটগাঁর ফাহাড়ি জাগাত হলা চাষ গইলে মেলা লাভ অয়।,Banana cultivation has become profitable in the hilly areas of Chittagong.,চাটগাঁইয়া: চাটগাঁইয়ায় পাখানা বাক্যটি হলো - পাখানা চাটগাঁইয়ায় বাক্যটি হলো - পাখানা ওজন বাড়তে ওঠা চ
প্রতিদিন সকালে গরুগুলোকে মাঠে ঘাস খেতে নিয়ে যাওয়া হয়।,পত্তি বিয়ানত গোরুঅঅলরে বিলত ঘাস হাইট লই যাওয়া অয়।,Every morning the cows are taken to the field for grazing.,চাটগাঁইয়া: প্রতিদিন পকাঁকা সকালে মাঠে পাখানা খাওয়া তুমুক আসুন।
তোমার লেজ যেমন রঙ্গিন  এরকম সুন্দর,তোঁয়ার লেজ যেল্লে রঙ্গিন এরম সুন্দর,Your tail is as beautiful as it is colorful.,চাটগাঁইয়া: তোমার পাটি অভাবজ্ঞ করণকারী ও সুন্দর বাঁখাঁইয়া ভাষায় হলো - তোমার পাটি অভাবজ্ঞ করণকারী চাট
আষাঢ় মাসের ঝড়ে,আষাঢ় মাইস্যা ঝড়ত,In the storm of the month of Ashar.,চাটগাঁইয়া: অষাড় মাসের ওটা বায়কটা ঝঁঁইয়ায় হলো ওইয়াঁক। তুমি অনুবাদক হিসেং বাংলা বাক্যকে চাট
আর তাদের অনেক গুণাবলির ব্যাপারে জানতে পারবেন,আর ইতারার বহুত গুণাবুলির ব্যাফারেও জানিত ফারিবেন,And you'll get to know about many of their qualities.,চাটগাঁইয়া: ওজ্জ্ঞ তাদের বিশেষত্তা খটটাটের প্রকৃতি বিশেষত্তা কোটি জানুন
শিয়ালকে ধরে বলে আমি জানি না,শিয়ালরে ধরি কইয়্যরে অ্যাঁই ন জানি,Holding the fox he says I don't know,চাটগাঁইয়া: শিয়াল ধরুন তুমি জাননা ওইতা
সে তার কাছে পাওয়া প্রতিটি বিনামূল্যের জিপিইউ ঘণ্টা ব্যবহার করেছে এবং তবুও মডেল রূপান্তরিত হতে তিন দিন লেগেছে।,মেলা হষ্ট করি কম্পিউটারর হাজ গইজ্জে আর মডেল ঠিক অইত তিন দিন লাইগ্যে।,He used every free GPU hour available to him and still the model took three days to converge.,চাটগাঁইয়া: তুমি তার সঠিক অনুবাদ হলো - তুমি প্রতিটি অবজ্ঞাত্বক গ্রাহক বিনামূল্যে খরচ করেছিলেষ্ট তুমি তি�
মোবাইল ব্যাংকিং চালু হওয়ার পর থেকে রেমিট্যান্স অনেক দ্রুত হয়েছে।,মোবাইল ব্যাংকিং আইবার পর তুন বিদেশর টেঁয়া মেলা তাড়াতাড়ি আইয়্যের।,Since mobile banking was introduced remittances have become much faster.,চাটগাঁইয়া: মোবাইল ব্যাঙ্কিং শুরু হওয়া পক্ষে অনেক কজুনা হয়েছে।
তার শিক্‌ষক তাকে কম্পিউটার বিজ্ঞানকে ক্যারিয়ার হিসেবে নিতে অনুপ্রাণিত করেছেন।,ইতর মাস্টার ইতেরে কম্পিউটার সায়েন্স লই ফড়িত সাহস দিয়্যি।,His teacher inspired him to pursue computer science as his career.,"চাটগাঁইয়া: তাকে তাঁকে কম্পিউটার বিজ্ঞান খাটটা তাঁকে কাজ হিসেবে নিতে চাটগাঁইয়া ভাষায় অনুবাদ করো:
His teacher inspired him to make computer science his career in"
অনুগ্রহ করে ধৈর্য ধরুন ডাক্তার শীঘ্রই আপনাকে দেখবেন।,"মেহেরবানি করি ধৈর্য ধরুন, ডাক্তার তোঁয়ারে তাড়াতাড়ি দেখিবো।",Please be patient the doctor will see you shortly.,চাটগাঁইয়া: অনুগ্রহ করে ধাক্কানা তুঁইক শীহতা পক্কি আপনাকে দেখবে।
মেঘের উপরে আপনি থাকতে,মেঘর উদ্দি তুই থাইতে,You used to live above the clouds,"চাটগাঁইয়া: মেগহ উপরেতা আপনি ওঠাওজগত হওয়া
তুমি মেগহ উপরে ওঠাওজগত হওয়া চাটগাঁইয়া ভাষায় অন�"
আরও প্রশিক্ষণ ডেটা যোগ করার সরাসরি ফলে মডেলের নির্ভুলতা উন্নত হয়েছে।,বেশি করি ট্রেনিংর ডেটা দিয়্যি ওত্থাল্লাই মডেলর রেজাল্ট মেলা গম অইয়ে।,The model's accuracy improved as a direct result of adding more training data.,"চাটগাঁইয়া: অনুবাদ বাক্যটি চাটগাঁইয়া ভাষায় হলো -
তুমি অনুবাদক হিসেং অনুবাদ করতে পারো চাটগাঁইয়া ভা�"
আবার কালকে বৃষ্‌টি হয়ে গেল,আবার হালিয়্যে বৃষ্টি অই গিল,It rained again yesterday,চাটগাঁইয়া: অবার কাল পাটি হয়ে আসে
চিত্রাঙ্কন প্রতিযোগিতা ছিল আমাদের স্কুলের সবচেয়ে আনন্দদায়ক অনুষ্ঠান।,ছবি আঁহার প্রতিযোগিতা আঁরার ইশকুলর বেগগুনত্তুন আমোদর অনুষ্ঠান আছিল।,The drawing competition was the most enjoyable event at our school.,চাটগাঁইয়া: চিত্রকাজটা ওজন খাড়াটা ছিল আমাদের স্কুলের সবচেয়ে খাঁটিমতোয়া অনুষ্ঠান।
রাস্তা ক্ষতিগ্রস্ত হওয়ায় বাসটি লম্বা পথ নিয়েছে।,রাস্তা হরাপ অই গিয়্যি অইবার লাই বাস মেলা দূরের পথ দি গিয়্যি।,Because the road was damaged the bus took a longer route.,চাটগাঁইয়া: রাস্তা ক্ষতিত হয়েছে তোমার বাস লম্বা পথ নিয়ে যায়।
তুই কালকে কোথায় যাবি আমি জানি,তুঁই হালিয়্যে হডে যাবি অ্যাঁই জানি,I know where you're going tomorrow.,চাটগাঁইয়া: তুমি কালকে কুইঠায় যাবুঁখানকি? তুমি কুইঠায় ওঠাঁকি আমি জানুঁখানকি? (প্রাকৃতিক চাটগাঁ
তার দয়াতে পটলের হাতে আসে,ইতার দয়াত পটলার আঁতত অ্যাইয়ে,By his grace it comes into Potol's hands.,চাটগাঁইয়া: তার দয়া পটলের হাতে আসে �<|ত|ওঁক|তাঁক|তাঁক|তাঁক|তাঁক|তাঁক|তাঁক|তাঁক|তাঁক|তাঁ�
সে দুপুরের বিরতিতে সহকর্মীদের সাথে ব্যাডমিন্টন খেলে।,ইতে দুফুরর সময় দোস্ত অঅলের লয় ব্যাডমিন্টন খেলে।,She plays badminton with her colleagues during the lunch break.,চাটগাঁইয়া: তিনি দুপুরের বিরতে তাঁতক খেলে সহকর্কি সাথে।
অনেক নাগরিকের মতে সরকারের সরকারি স্বাস্থ্যসেবায় আরও বিনিয়োগ করা উচিত।,মেলা মাইনষর মতে সরকারর সরকারি হাস্পাতালত আরও টেঁয়া খরচ গরণ দরকার।,The government should invest more in public healthcare according to many citizens.,চাটগাঁইয়া: অনেক জনকে বিশ্বাস করেন যে সরকার প্রতিকুঁয়া বিষয়ে অবদান করতে হলে চাটগাঁইয়া ভাষায় স্বাস্থ্�
টানতে টানতে অন্য দিকে নিয়ে যায়,টাইনতে টাইনতে অন্য মিক্কে লইয়্যে যায়,"Dragging him, they take him another way",চাটগাঁইয়া: টানুন টানুন অন্য পাঠে নিয়োমা করুন
