bangla,chittagonian,english,predicted_chittagonian,bleu_sentence,chrf_sentence
সে একজন অপরিচিত মানুষের সাথে ছাতা ভাগ করেছে এবং বৃষ্টিতে একসাথে হেঁটেছে।,ইতে অচেনা কেনর লয় ছাতা শেয়ার করি বৃষ্টিত হাঁডিয়্যি।,He shared his umbrella with a stranger and they walked together in the rain.,ঔ হেনেক আঞ্চলিক আঞ্চলিক হেঁটেহেঁট। তোমাঙ্ক বাঁশি বাধা আঞ্চলিক আঞ্চলিক।,0.0,7.413906943637963
গত শতাব্দীতে ঘূর্ণিঝড়ের পর মৎস্যজীবী গ্রামটি তিনবার পুনর্নির্মিত হয়েছে।,গত বছর অঅলের তুয়ানর পরে জাইল্ল্যা গাঁও গান তিনবার বানিয়্যে।,The fishing village was rebuilt three times after cyclones in the last century.,"চাটগাঁইয়া আঞ্চলিকে হ’লো: চাটগাঁইয়া আঞ্চলিক ভাষায় অনুবাদটি হ’লো:
তুমি চাটগাঁইয়া ভাষা�",0.0,9.00675745117179
প্রকৃত বন্ধুত্ব মানে ভালো ও মন্দ সময়ে একে অপরের পাশে থাকা।,আসল দোস্তি মানে গম আর হরাপ সময়ত এক্কজন আরকজনর হাতত থাহন।,True friendship means standing by each other through good and bad times.,প্রাকৃতিক বন্ধুত্ব হ’ল বাড়াই ভালো ও বাড়াই বারেকেই চাটা স্বাভাবিক ভাষায় অনুবাদ হ’ল হাঁসি বন্ধুত্ব হ’ল পাঁ,0.0,7.860964499032246
বাংলা ও চাটগাঁইয়া উভয়ই একই লিপি ব্‌যবহার করে কিন্তু উচ্চারণে পার্থক্য আছে।,বাংলা আর চাটগাঁইয়া দুইয়ন এক্কই লেখা ব্যবহার গরিলেও হতা কওন আলাদা।,Both Bangla and Chittagonian share the same script but differ in pronunciation.,ঔ বাংলা আঞ্চলিক হ’ল চাটগাঁইয়া বাংলা বাক্য হ’ল হেঞ্চ: বাংলা আঞ্চলিক ও আঞ্চলিক ভাষাই বিশেষজ্ঞ বাংলা বাক্যে অনুবাদ কৈছে হে�,2.159701133933343,21.466955006426787
সে ডেটাসেটে প্রতিটি অনুবাদ-অযোগ্য চাটগাঁইয়া প্রকাশ একটি নোট দিয়ে অ্যানোটেট করেছে।,ইতে ডাটাসেটত সব হতার মানে লিখি রাহ্যি।,She annotated every untranslatable Chittagonian expression in the dataset with a note.,"ঔঢ়া ভাষায়:
সে ডেটাসেটে প্রাকৃতিক বাংলা বাক্য হলো:
নিচের বাংলা বাক্যটি অনুবাদ করা হয়েছে:
সে বাংলা বাক্যকে আঞ্চলিক ভাষায়",0.0,11.480810839096934
বিশ্রাম নাও এত কঠোর পরিশ্রম করো না আপনার স্বাস্থ্য গুরুত্বপূর্ণ।,"জিরান লও, ইতুনি হষ্ট ন গরিও, তোঁয়ার শরীল মেলা দরকারি।",Take rest and do not work so hard your health is important.,বিশ্রাম নাও এত কঠোর পাঁচছাড়া কাজ করো না আঞ্চলিক ভাষায় আপনার আঞ্চলিক ভাষায় স্বাস্তিক আঞ্চলিক ভাষায় হবে,0.0,8.851026722144525
প্রচণ্ড বৃষ্টির কারণে রেফারি ফুটবল ম্যাচ থামিয়ে দিয়েছেন।,মেলা বৃষ্টির লাই রেফারি ফুটবল খেলা বন্ধ গরি দিয়্যি।,The referee stopped the football match because of heavy rain.,ঔঞ্চলি: বাইঞ্চি বাচকে ভালেই ফুটবল বাংলা বাক্যটি অনুবাদ হয়েছে। অঞ্চলে: প্রাকৃতিক বাচক হালকাওঞ্চলে বাংলা বাক্যটি অনুবাদ �,2.0244462660665508,13.549677819683525
আমার জন্য দোয়া করো।,আঁর লাই দোয়া গরিও।,Please pray for me.,"তুমি প্রায়া করো।
সঠিকভাব",0.0,8.906525872972704
সে চট্টগ্রামের উপকূলীয় এলাকায় উন্নত বর্জ্য ব্যবস্থাপনার জন্য প্রচারণা করে।,ইতে চাটগাঁর দরিয়ার হাছর জাগাত ময়লা সাফ গরণর লাই প্রচার গরের।,She campaigns for better waste management in Chittagong's coastal areas.,ঔঞ্চলে চাটগাঁইয়া বাণিলায় প্রাকৃতিক অস্ত্রে বাহালকে প্রাকৃতিক অস্ত্রের বাহালকের আঞ্চলিক ভাষায় অনুবাদ করা হলো। অনুবাদ,0.0,14.84252886704055
সম্প্রদায় সেতু তৈরি করেছে যাতে শিশুরা নিরাপদে স্কুলে যেতে পারে।,মাইনষ মিলি পুল বানাইয়্যে যাতে ফুয়া অঅল নিরাপদে ইশকুলত ফারি যায়।,The community built a bridge so children could get to school safely.,ঔঞ্চল তৈরি করে স্বাভাবিক ভাষায়: অঞ্চল চাটগাঁইয়া ভাষায় হলো হেনে ছাড়াও বালিঙ্গ স্কুলে ফাঠায়। অনুবাদটি প্রাকৃতিক ও,0.0,13.20885511442324
দাদার চাটগাঁইয়া কৌতুকে সে এত জোরে হেসেছে যে চোখে পানি এসেছে।,দাদির চাটগাঁইয়া কিসসা হুনি ইতে মেলা হাসি দিয়্যি।,He laughed so hard at his grandfather's Chittagonian joke that he cried.,"ঔ তোমার দাদার চাটগাঁইয়া কৌতুকে সে হেসে ভাষা অনুবাদ করা হলো:
ঔ: তোমার দাদার চাটগাঁইয়া কৌতুকে সে হেসে চাটগাঁইয়া ভাষায",1.727223799216787,21.364608989644548
গ্রামে নতুন স্কুল নির্মাণ সামাজিক অনুদানে অর্থায়ন হয়েছে।,গাঁঅত নুয়া ইশকুল বানানি মাইনষর টেঁয়া দি অইয়ে।,The new school construction in the village was funded by community donations.,ঔঞ্চল: গ্রামে নতুন স্কুল নির্মাণ হ’ল পাড়াকালি অনুদান বাংলা ভাষায় হ’ল পাড়াকালি আঞ্চলিক ভাষায়। অনুবাদটি স্বাভাবিক ও �,0.0,11.111080705277935
তাদের বাবা-মা প্রথমে রাজি ছিলেন না কিন্তু পরে সম্পর্ক মেনে নিয়েছেন।,তারার বাপ-মা পইলা রাজি ন আছিল কিন্তু পরে মানি লইয়্যি।,Their parents did not approve at first but later accepted the relationship.,ঔঢ়ে তাঁর বাবাও আঞ্চলিক ভাষায়: প্রথমে রাঙা হোক নেই কিন্তু চট্টগ্রামে স্বাভাবিকভাবে: অনুবাদ: প্রাকৃতিককে অনুবাদ করা: চা�,1.8160849415439309,13.74682560465231
সে গভীর পানিতে জাল ফেলে।,ইতে গহীন পানিত জাল ফালায়।,He casts his net into the deep water.,ঔ হে আঞ্চলিক পানি যাঙ ফেলে।,0.0,10.511790840738207
এআই অনুবাদের সমালোচকরা চিন্তিত এটা মানব অনুবাদকদের সম্পূর্ণ প্রতিস্থাপন করবে,যারা এআই পছন্দ ন গরে তারা ডরায় যে মানুষ অনুবাদকর আর দরকার ন ফড়িবো।,Critics of AI translation worry it will replace human translators entirely,ঔ অনুবাদের আঞ্চলিক অনুবাদকহৈ প্ৰাকৃতিক আঞ্চলিক অনুবাদককে অনুসারি হৈ হেнь প্ৰাকৃতিক আঞ্চলিক অনুবাদক হ’লোকেৱা হেঁত,0.0,11.375382289236775
চট্টগ্রাম বাংলাদেশের সেরা ক্রিকেটারদের কিছু জন্ম দিয়েছে।,চাটগাঁ বাংলাদেশর মেলা গম গম ক্রিকেটার তৈয়ার গইজ্জে।,Chittagong has produced some of Bangladesh's finest cricketers.,চাটগাঁইয়া বাংলাদ,0.0,16.282294283252526
স্থানীয় প্রজাতির বাসা বাঁধাকে উৎসাহিত করতে সে বাগানে পাখির ঘর তৈরি করেছে।,ফাহি অঅলেরে থাহনর লাই ইতে বাগানত পাখির ঘর বানাইয়্যে।,He built a birdhouse in his garden to encourage nesting by local species.,ঔঞ্চলে: আঞ্চলিক প্রাণীর বাসাটি বাঁধাই অনুভতা করা লোক আঞ্চলিক ভাষায়: তৈরি করেছে হাঁইকে বাগা�neয় পাঁথাটি বাঁধাই অনুভতা ক,0.0,13.155975933204298
অনেক তরুণ বিশ্ববিদ্যালয়ের ডিগ্রি থাকা সত্ত্বেও বেকার।,মেলা জোয়ান ফুয়া ভার্সিটি পাশ করিও বেকার বই রইয়্যি।,Many young people are unemployed despite having a university degree.,"ঔক তুরঙ বিশেষজ্ঞ আঞ্চলিক ভাষায়:
নিচের বাংলা বাক্যটি সঠিকভাবে অনুবাদ করা হলো:
আঞ্চলিক: অনেক তুরঙ আঞ্চলিক বিশেষজ্ঞ ভাষায়",0.0,10.19879713444908
সে সন্তানদের প্রতিটি স্কুল রিপোর্ট কার্ড একটি বিশেষ বাক্সে রেখেছে।,ইতি ফুয়াঅঅলের ইশকুলর রেজাল্ট শিট বেগগুন এক্কান আলাদা বাক্সত রাখি দিয়্যি।,She kept every school report card of her children in a special box.,"ঔ তে আঞ্চলিক ভাষায়:
আঞ্চলিক: তে আঞ্চলিক ভাষায়:
অনুবাদ: হে আঞ্চলিক ভাষায়:
নেপালের আঞ্চলিক ভাষায়:
নাই অনুবাদ:
নিচের বাংল",0.0,9.744312105230122
দরজা বন্ধ করো।,দরজা বন্ধ গর।,Close the door.,ঔ বন্ধ কorer.,15.97357760615681,16.58319394278823
সে চাটগাঁইয়া কলাম শেষ করলে ডেটাসেট প্রশিক্ষণের জন্য প্রস্তুত হবে.,ইতে চাটগাঁইয়া কলাম শেষ গইলে ডাটাসেট ট্রেনিংর লাই তৈরি অইবো।,If she finishes the Chittagonian column the dataset will be ready to train.,ঔ ইহা চাটগাঁইয়া কলাম শেষ করা হলে ডেটাসেট প্রশিক্ষণের আঞ্চলিকভাবে হবে.,12.605968092174914,36.227829071760496
এআই অনুবাদের সমালোচকরা চিন্তিত এটা মানব অনুবাদকদের সম্পূর্ণ প্রতিস্থাপন করবে।,যারা এআই পছন্দ ন গরে তারা ডরায় যে মানুষ অনুবাদকর আর দরকার ন ফড়িবো।,Critics of AI translation worry it will replace human translators entirely.,ঔ অনুবাদের আঞ্চলিক ভাষায়: আই হৈছে চাটগাঁইয়া অনুবাদকহৈ প্রাকৃতিক আঞ্চলিক ভাষায়: আঞ্চলিক অনুবাদকসকাই প্রাকৃতিক ভাষ,0.0,14.018049561939955
চট্টগ্রামের উপকূলের কাছে জেলিফিশ ও সামুদ্রিক আবর্জনা ক্রমশ বেড়ে চলেছে.,চাটগাঁর দরিয়ার হাছত জেলিফিশ আর ময়লা বাড়ি যারগৈ।,Jellyfish and sea debris are increasingly common near Chittagong's coast.,চাটগাঁইয়ার পাড়ে চাটগাঁইয়া ও আঞ্চলিক আঞ্চলিক অন্তর্ভুজ পাড়াস্বাদে হচ্ছে.,0.0,15.73020357760912
ফাইনাল পরীক্ষার জন্য সে সারারাত জেগে পড়েছে।,ফাইনাল পরীক্ষার লাই ইতে গোট্টা রাইত জেগি ফড়িয়্যে।,He stayed up all night studying for the final exam.,তুমি ফাইনাল পরিক্ষাটি আঞ্চলিক হতে চাটগাঁইয়া বাংলা ভাষায় চাটগাঁইয়া ভাষায় হতে চাট,3.3864985683445354,18.988757978232925
প্রকৃত বন্ধুত্ব মানে ভালো ও মন্দ সময়ে একে অপরের পাশে থাকা.,আসল দোস্তি মানে গম আর হরাপ সময়ত এক্কজন আরকজনর হাতত থাহন।,True friendship means standing by each other through good and bad times.,প্রাকৃতিক বন্ধুত্ব হ’লো অনেক ভালো ও অনেক বাড়া বছরে বাছা বাডঝা ভাষা চাটেক আঞ্চলিক ভাষায় হেনেকাহেনেক আঞ্চল,0.0,7.664495590975276
শবে বরাতের রাতে নামাজ ও বিশেষ মিষ্টান্ন দিয়ে পালন করা হয়,শবে বরাত রাইতত নামাজ আর মেলা জাতর মিঠাই দি পালন অয়।,The Shab-e-Barat night is observed with prayers and special sweets,"ঔ ভাঁজ আঞ্চলিক ভাষায় অনুবাদ হলোঃ
ঔ ভাঁজ আঞ্চলিক ভাষায় অনুবাদ হলোঃ
ঔ অঞ্চলিক ভাষায়:
অঞ্চলিক:
ঔ অঞ্চলিক ভাষায়:
ঔ অ",0.0,5.927720294357796
ফসল এত ভালো হওয়া শেষ কবে ছিল সে মনে করতে পারছে না,অত্তো গম ফসল আগে হঁনদিন অইছিল ইয়া ইতর মনে ন ফড়ের।,He cannot remember the last time the harvest was this good,ফসল এত ভালো হয়ে যাওয়া শেষ কাল চট্টগ্রামে অনুবাদ করা হতে পারে না হে চাটগাঁইয়াতে.,2.445593937240363,11.648422213777147
সে কয়েক মাস ধরে হাঁটুর ব্যথায় ভুগছিল এবং অবশেষে বিশেষজ্ঞের কাছে গেছে।,ইতে মেলা মাস ধরি অঁঁটুর বিষত আছিল আর এহুন ডাক্তার দেখাইয়্যে।,She has been having knee pain for months and finally went to a specialist.,"ঔ হাঁটুৱে প্রাকৃতিক ভাষায় অনুবাদ হ’লো:
ঔ হে কয়েক মাঠে হাঁটুৱে প্রাকৃতিক ভাষায় ভুগছিল আৰু অবশেষে বিশেষজ্ঞেৱে প্র",0.0,10.861308352795133
জোয়ার আমাদের সঙ্গে থাকলে সূর্যাস্তের আগে দ্বীপে পৌঁছাব।,জোয়ার আঁরার লয় থাহিলে আজিন্নে বেলার আগে দ্বীপে ফঁইচ্ছি যাইয়্যুম।,If the tide is with us we will reach the island before sunset.,অঞ্চল চাটা হে আ�,0.0,2.5617305704351097
চট্টগ্রামের অনেক তরুণ এখন ঢাকার আইটি কোম্পানিতে কাজ করছে।,চাটগাঁর মেলা জোয়ান ফুয়া এহুন ঢাকার আইটি কোম্পানিত হাজ গরের।,Many Chittagonian youth are now working in IT companies in Dhaka.,"ঔ চাটগাঁইয়া বাছা আঞ্চলিক ভাষায়:
আঞ্চলিক: ঢাকায় বাংলা আঞ্চলিক ভাষায়:
নেক বাংলা আঞ্চলিক বাছা আঞ্চলিক ভাষায়:
অনেক বাংলা",0.0,11.592889568993925
সে চাটগাঁইয়া বাংলা ও ইংরেজির মধ্যে অনায়াসে কোড-সুইচ করে.,"ইতে চাটগাঁইয়া, বাংলা আর ইংরেজি মিলাই কথা কয়।",She code-switches effortlessly between Chittagonian Bangla and English.,"ঔ, তে চাটগাঁইয়া বাংলা ও আঞ্চলিক আঞ্চলিক ভাষায় অনায়াসে চাটগাঁইয়া হ’ল. হে আঞ্চলিক ভাষায় চাটগাঁইয়া বাংলা ও আঞ্চলিক �",2.3901021968803136,25.693926036488563
সে হাসপাতালে বাংলা না জানা রোগীদের জন্য অনুবাদক হিসেবে স্বেচ্ছাসেবী কাজ করে।,ইতে হাস্পাতালত যারা বাংলা ন বুঝে তারারে বুঝাই দেওনর হাজ গরে।,She volunteers to translate for non-Bangla-speaking patients at the hospital.,ঔঞ্চলে তে বাংলা বাক্য হ’লে স্বেচ্ছাসেবী কাজ করে চট্টগ্রাম। পাতালে বাংলা বাক্য অনুবাদ করা হবে। চাটগাঁইয়া ভাষায় অনুবাদটি স,2.0244462660665508,16.40011009178004
ক্ষুধার্ত মানুষ রাগী মানুষ।,যার ভুক বেশি ইতর গুসসাও বেশি।,A hungry man is an angry man.,ঔঢ় পাণ্ডা হেঞ্চ পাণ্ডা।,0.0,2.1367521367521367
শোক জানাতে প্রতিবেশী ও আত্মীয়রা দূর থেকে এসেছেন.,দুক জানাইতল্লাই হাতর ঘরের মাইনষ আর আত্মীয় অঅল মেলা দূরত্তুন আইয়্যে।,Neighbors and relatives came from far away to offer their condolences.,"ঘোষণা বাংলা হতে প্রাকৃতিক ভাষায়: অনুবাদ হলো:
ঔঞ্চগাঁইয়া: ঠাক ভাষায়: অনুবাদ হলো:
ঔঞ্চগাঁইয়া: আঞ্চলিক �",0.0,8.430666166420586
তারা পাঁচ বছর ধরে একসাথে আছে।,তারা পাঁচ বছর ধরি একসাথে আছে।,They have been together for five years.,"ঔ তাই পাঁচ বছর ধারে আঞ্চলিক ভাষায় ছাঁথ।
English: অনুবাদ: তারা পাঁচ বছর ধারে আঞ্চলিক ভাষায় ছাঁথ।
English meaning: They have been together for five years.",4.621362667122021,25.792126220965816
চাটগাঁইয়া সূচিকর্মের শৈলীতে সমুদ্রের মোটিফ ও পাহাড়ের নকশা একসাথে ব্যবহার হয়।,চাটগাঁর সেলাইর নিয়ম দরিয়া আর ফাড়র নকশা একলয় অয়।,The Chittagonian style of embroidery uses sea motifs and hill patterns together.,"চাটগাঁইয়া আঞ্চলিক বাছাইখাণ্ডে চট্টগ্রামের আঞ্চলিক বাক্য হলো হালেকাঁইয়া বাংলায়:
ঔকাঁইয়া আঞ্চলিক বাছাইখাণ্ডে চট্টগ্রামে",0.0,12.921956895016622
খরার সময় বৃষ্টি ছাড়া কৃষকরা জমিতে পানি দিতে সংগ্রাম করেন,হুহার সময় বৃষ্টি ন অইলে হিষারি অঅল জমিতে পানি দিইত মেলা হষ্ট পায়।,During drought farmers struggle to irrigate their fields without rain,"খড়ে আঞ্চলিক ভাষায় বৃষ্টি হলে বৃন্দ বালেখাঁইয়ার আঞ্চলিক ভাষায় অনুবাদ করা হলো:
নিচের বাংলা বাক্যটি চাটগা�",2.2869567780619007,15.794278518086443
